Rotavirus 	 dsRNA
Bocaparvovirus 	 ssDNA
Curtovirus 	 ssDNA
Erythroparvovirus 	 ssDNA
Seadornavirus 	 dsRNA
Hypovirus 	 dsRNA
Cyclovirus 	 ssDNA
Brevihamaparvovirus 	 ssDNA
Bovismacovirus 	 ssDNA
Curtovirus 	 ssDNA
Orthoreovirus 	 dsRNA
Orthohantavirus 	 ssRNA
Mycoreovirus 	 dsRNA
Etatorquevirus 	 ssDNA
Betasatellite 	 ssDNA
Respirovirus 	 ssRNA
Totivirus 	 dsRNA
Protoparvovirus 	 ssDNA
Copiparvovirus 	 ssDNA
Scindoambidensovirus 	 ssDNA
Betatorquevirus 	 ssDNA
Gammaretrovirus 	 ssRNA
Ambidensovirus 	 ssDNA
Alphaendornavirus 	 dsRNA
Alphainfluenzavirus 	 ssRNA
Alphapartitivirus 	 dsRNA
Alphapleolipovirus 	 ssDNA
Alpharetrovirus 	 ssRNA
Alphatorquevirus 	 ssDNA
Alphatrevirus 	 ssDNA
Amalgavirus 	 dsRNA
Ambidensovirus 	 ssDNA
Amdoparvovirus 	 ssDNA
Aquareovirus 	 dsRNA
Arurhavirus 	 ssRNA
Aveparvovirus 	 ssDNA
Babusatellite 	 ssDNA
Badnavirus 	 dsDNA
Begomovirus 	 ssDNA
Betachrysovirus 	 dsRNA
Betapartitivirus 	 dsRNA
Betaretrovirus 	 ssRNA
Chlamydiamicrovirus 	 ssDNA
Chrysovirus 	 dsRNA
Circovirus 	 ssDNA
Clostunsatellite 	 ssDNA
Coltivirus 	 dsRNA
Cypovirus 	 dsRNA
Cystovirus 	 dsRNA
Cytorhabdovirus 	 ssRNA
Deltaretrovirus 	 ssRNA
Dependoparvovirus 	 ssDNA
Emaravirus 	 ssRNA
Ephemerovirus 	 ssRNA
Fijivirus 	 dsRNA
Gammainfluenzavirus 	 ssRNA
Gammapartitivirus 	 dsRNA
Gammaretrovirus 	 ssRNA
Gammatorquevirus 	 ssDNA
Geminialphasatellitinae 	 ssDNA
Gemycircularvirus 	 ssDNA
Gemygorvirus 	 ssDNA
Gemykibivirus 	 ssDNA
Gequatrovirus 	 ssDNA
Goukovirus 	 ssRNA
Hapavirus 	 ssRNA
Henipavirus 	 ssRNA
Hepandensovirus 	 ssDNA
Horwuvirus 	 ssRNA
Iotatorquevirus 	 ssDNA
Isavirus 	 ssRNA
Iteradensovirus 	 ssDNA
Jeilongvirus 	 ssRNA
Leishmaniavirus 	 dsRNA
Lentivirus 	 ssRNA
Lyssavirus 	 ssRNA
Mastrevirus 	 ssDNA
Metaavulavirus 	 ssRNA
Mitovirus 	 ssRNA
Mivedwarsatellite 	 ssDNA
Mivirus 	 ssRNA
Morbillivirus 	 ssRNA
Mycoreovirus 	 dsRNA
Nanovirus 	 ssDNA
Narnavirus 	 ssRNA
Nucleorhabdovirus 	 ssRNA
Ophiovirus 	 ssRNA
Orbivirus 	 dsRNA
Orthobornavirus 	 ssRNA
Orthobunyavirus 	 ssRNA
Orthohantavirus 	 ssRNA
Orthohepadnavirus 	 mixedDNA
Orthonairovirus 	 ssRNA
Orthophasmavirus 	 ssRNA
Orthopneumovirus 	 ssRNA
Orthoreovirus 	 dsRNA
Orthorubulavirus 	 ssRNA
Oryzavirus 	 dsRNA
Paraavulavirus 	 ssRNA
Phasivirus 	 ssRNA
Phytoreovirus 	 dsRNA
Porprismacovirus 	 ssDNA
Protobacilladnavirus 	 ssDNA
Saetivirus 	 ssDNA
Scindoambidensovirus 	 ssDNA
Shangavirus 	 ssRNA
Shaspivirus 	 ssRNA
Spumavirus 	 dsDNA
Sripuvirus 	 ssRNA
Striwavirus 	 ssRNA
Thottimvirus 	 ssRNA
Trichomonasvirus 	 dsRNA
Vesiculovirus 	 ssRNA
Victorivirus 	 dsRNA
Wenrivirus 	 ssRNA
Wubeivirus 	 ssRNA
Wuhivirus 	 ssRNA
